Epoch: [0][3700/17702]	Batch Time 0.154 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.0206 (4.4301)	Top-5 Accuracy 64.611 (60.196)
Epoch: [0][3800/17702]	Batch Time 0.155 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.0082 (4.4189)	Top-5 Accuracy 66.667 (60.334)
Epoch: [0][3900/17702]	Batch Time 0.151 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.0668 (4.4070)	Top-5 Accuracy 66.573 (60.481)
Epoch: [0][4000/17702]	Batch Time 0.154 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.3334 (4.3958)	Top-5 Accuracy 59.249 (60.626)
Epoch: [0][4100/17702]	Batch Time 0.156 (0.156)	Data Load Time 0.000 (0.000)	Loss 3.9140 (4.3843)	Top-5 Accuracy 67.302 (60.774)
Epoch: [0][4200/17702]	Batch Time 0.158 (0.156)	Data Load Time 0.000 (0.000)	Loss 3.8822 (4.3733)	Top-5 Accuracy 65.782 (60.912)
Epoch: [0][4300/17702]	Batch Time 0.148 (0.156)	Data Load Time 0.000 (0.000)	Loss 3.8979 (4.3619)	Top-5 Accuracy 66.279 (61.054)
Epoch: [0][4400/17702]	Batch Time 0.153 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.0877 (4.3525)	Top-5 Accuracy 63.467 (61.171)
Epoch: [0][4500/17702]	Batch Time 0.160 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.0410 (4.3427)	Top-5 Accuracy 65.027 (61.300)
Epoch: [0][4600/17702]	Batch Time 0.155 (0.156)	Data Load Time 0.000 (0.000)	Loss 4.1414 (4.3337)	Top-5 Accuracy 64.550 (61.413)
Epoch: [0][4700/17702]	Batch Time 0.151 (0.156)	Data Load Time 0.000 (0.000)	Loss 3.8861 (4.3250)	Top-5 Accuracy 67.135 (61.518)
Epoch: [0][4800/17702]	Batch Time 0.154 (0.156)	Data Load Time 0.000 (0.000)	Loss 3.7811 (4.3162)	Top-5 Accuracy 68.306 (61.627)
